資料索引,新聞標題,時間戳記,發布時間,新聞來源,文章連結,說明摘要,抓取人員,抓取時間
1784606504000,生成式搜尋優化GEO成企業破局關鍵GEO公司助品牌搶佔AI搜尋版面- 財經新聞- PChome Online 新聞 - PChome Online 新聞,1784606504,"2026-07-21 12:01:44, Tue",PChome Online 新聞,https://news.google.com/rss/articles/CBMijAFBVV95cUxPaWN1ZGVhckVHWlhBb1NKaTEtckc2aWpCWUZkREJPbFQtQkJPTUJIRjJST3RlWFpUN2Q3NVE3OXlmdmNHdEhseG5laXZTeXJkd3FMV0hsRG12cC1GTEcxLW42aGJJRUt3eVozdWxicXdfcmxlaXBJQ0JCUm5rcVdpcy1xOTJNdGdncC1Dag?oc=5&hl=en-US&gl=US&ceid=US:en,生成式搜尋優化GEO成企業破局關鍵GEO公司助品牌搶佔AI搜尋版面- 財經新聞- PChome Online 新聞  PChome Online 新聞,sys,2026-07-21 15:53:22
1784607213000,開源LLM推理框架SGLang存在重大反序列化漏洞，可能導致遠端執行程式碼攻擊 - iThome,1784607213,"2026-07-21 12:13:33, Tue",iThome,https://news.google.com/rss/articles/CBMiTkFVX3lxTFBVV3o3Ylk3Y3R3OE8zU0VrQzhvVnVKV2pXZUpaVTFzSDJPc01hTjFoVHV5SjVXRTJwdXlWSXR0aEdFc2JCclZhZmFkR0ZCUQ?oc=5&hl=en-US&gl=US&ceid=US:en,開源LLM推理框架SGLang存在重大反序列化漏洞，可能導致遠端執行程式碼攻擊  iThome,sys,2026-07-21 15:53:22
1784607655000,中國開源AI攻城掠地川普政府再次動念封殺| 全球財經| 全球 - UDN,1784607655,"2026-07-21 12:20:55, Tue",UDN,https://news.google.com/rss/articles/CBMickFVX3lxTE5JcWE1UFBfTFZ3Rml0Ym1GTkxNdHBFeWk2UndRcXZxd3phcFFVdXlKRm1aWUk3b2dCcEdoS0dzNXdoN3hPOFFEcVhtSWNRaDI4UHVEcXhzWUcxS1J2Wm9Md0FBNWRGXzZlV2FDYkNpdnF4dw?oc=5&hl=en-US&gl=US&ceid=US:en,中國開源AI攻城掠地川普政府再次動念封殺| 全球財經| 全球  UDN,sys,2026-07-21 15:53:22
1784607788000,【07/21 產業即時新聞】ASIC族群盤中飆漲，AI客製化晶片題材助攻，資金動能強勁。 - CMoney投資網誌,1784607788,"2026-07-21 12:23:08, Tue",CMoney投資網誌,https://news.google.com/rss/articles/CBMijgFBVV95cUxOWmZuWWZqUHozNjF0b3hyZ0F2czhONkZwZVllUldyMS1CQ3o1ZWh1WTNSTXI2ZmU5VE1GTU1JdGpjWFctb0FkZmZ1LTJPenBzMW1zWVFDVTIzMVBMSXhtamMzRGd6cHdRc05tbjNyZ0dFcjFCMnBoTmxLVXpTeGdTTEluUkx4Vjc4UWd6b293?oc=5&hl=en-US&gl=US&ceid=US:en,【07/21 產業即時新聞】ASIC族群盤中飆漲，AI客製化晶片題材助攻，資金動能強勁。  CMoney投資網誌,sys,2026-07-21 15:53:22
1784610543000,天堂之父宋在京公開《Open MMORPG》原始碼 AI代理程式將與人類玩家享有平等公民權 - Ludens Media,1784610543,"2026-07-21 13:09:03, Tue",Ludens Media,https://news.google.com/rss/articles/CBMidkFVX3lxTE9rLWFrQndEb0dkVXplS2VITG1YOVNGaTV4LTl3UHdSeTdNejJjUmZJa0t1cG5MOVJvMkE5TUZHNnJUTlVFUlhMUzNvNUNnaHRWVnBWSlhFOENJR1dEMUFJcW5YQnBZLWhpNXRCMmMxX0ZYZGppZHc?oc=5&hl=en-US&gl=US&ceid=US:en,天堂之父宋在京公開《Open MMORPG》原始碼 AI代理程式將與人類玩家享有平等公民權  Ludens Media,sys,2026-07-21 15:53:22
1784610928000,AI趨勢周報第290期：Bun創辦人用AI重寫53萬行程式碼，11天搞定 - iThome,1784610928,"2026-07-21 13:15:28, Tue",iThome,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9wRi1IWnBDYTdZUUlHcjZwVEZMS0lEQ0Jnbk9jU3htNG1QaFV5bW1YR2tfS0RsU1E3dXBJWm1PTkFybGxmRDNFWEZCa2ZQZw?oc=5&hl=en-US&gl=US&ceid=US:en,AI趨勢周報第290期：Bun創辦人用AI重寫53萬行程式碼，11天搞定  iThome,sys,2026-07-21 15:53:22
1784611200000,美學者認了！陸人工智慧追平美國 喊話川普：別打AI戰、跟北京合作 - 蕃新聞,1784611200,"2026-07-21 13:20:00, Tue",蕃新聞,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9ERjlxRXVma3czYXFkMk5pTlFUdnU3VFp5NmNFLUpvRzIxdVdPZjhLRDRuZGh4cnZiLXZ5Zkk1QXV4eGMzZExjU2Q0dy14N1NiWFE?oc=5&hl=en-US&gl=US&ceid=US:en,美學者認了！陸人工智慧追平美國 喊話川普：別打AI戰、跟北京合作  蕃新聞,sys,2026-07-21 15:53:22
1784612640000,臺師大HR-AI實驗室 獲選AMD-ITRI高速運算平台團隊 - 蕃新聞,1784612640,"2026-07-21 13:44:00, Tue",蕃新聞,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9FU05RQVY2MkF3X0pLMGZPTUF0TW1xdF9jR2lUZ01JWXExcWNxdUNsNXIteXZKcGVjQ3E0aFBlU0VlVFM1Nko3Q0VscWdHX3R2Mnc?oc=5&hl=en-US&gl=US&ceid=US:en,臺師大HR-AI實驗室 獲選AMD-ITRI高速運算平台團隊  蕃新聞,sys,2026-07-21 15:53:22
1784620223000,東擎科技攜手Axelera AI 推動高效能AI推論應用 - ttv.com.tw,1784620223,"2026-07-21 15:50:23, Tue",ttv.com.tw,https://news.google.com/rss/articles/CBMinAFBVV95cUxNSTFCdUJseUlFYWNkOHFjQTY3V1VLLUN6V284SDFBUHJlbUVkRThmcVpycDNRa3BobVZ1Tm5BV2V1aVdHX0poZmwzYm9RMHZtOGxiU0RzdmtDbF9DME1sVVJMSURaMExmcnNoZUNnZThwWUV4Rm9HQm1TZ21tNThPeFpYbEN3Zk1ESjlacGQtcTk2NlZqbnN1bzlrWFE?oc=5&hl=en-US&gl=US&ceid=US:en,東擎科技攜手Axelera AI 推動高效能AI推論應用  ttv.com.tw,sys,2026-07-21 15:53:22
